customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
1.0,1.0,False,Dell,"Dell - Latitude 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 160GB Hard Drive - Black",False,269.99,269.99,812177024433
1.0,1.0,True,Acer,"Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",True,329.0,305.99,888863818631
1.0,1.0,False,HP,"HP - EliteBook 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 128GB Solid State Drive - Silver",False,264.99,264.99,825633345669
1.0,1.0,False,Lenovo,"Lenovo - ThinkPad 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",False,223.99,223.99,825633384934
1.0,2.0,True,Lenovo,"Lenovo - ThinkPad 14.1"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 250GB Hard Drive",True,224.99,224.99,812177027830
1.0,1.0,True,Wacom,"Wacom - MobileStudio Pro 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Black",True,1799.99,1499.99,753218988065
1.0,1.0,True,Dell,"Dell - Latitude 15.6"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 320GB Hard Drive - Black",False,298.99,298.99,841631116650
1.0,1.0,True,Acer,"Acer - 11.6"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Gray",True,189.0,189.0,841631116568
1.0,2.0,False,MSI,"MSI - 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 2TB Hard Drive + 256GB Solid State Drive - Aluminum Black",False,2299.99,2299.99,824142160619
1.0,1.0,True,CyberPowerPC,"CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Solid State Drive - Black",True,1479.99,1409.99,811842056281
1.0,1.0,True,HP,"HP - Stream 11.6"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves In Snow White",True,229.99,229.99,192545667302
1.0,2.0,True,Dell,"Dell - Inspiron 2-in-1 11.6"" Touch-Screen Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 32GB eMMC Flash Memory - Gray",True,249.99,249.99,884116292760
1.0,1.0,False,Dell,"Dell - 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",False,254.99,254.99,812177025416
1.0,3.0,False,Dell,"Dell - 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 320GB Hard Drive - Black",False,254.99,254.99,812177025409
1.5,2.0,False,Dell,"Dell - Latitude 14"" Refurbished Laptop - Intel Core 2 Duo - 2GB Memory - 160GB Hard Drive - Black",False,194.99,194.99,812177024426
1.7,15.0,True,Acer,"Acer - Aspire R 15 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel Gray",True,799.99,744.99,191114297803
2.0,4.0,False,Dell,"Dell - Latitude 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",False,226.99,226.99,812177024440
