customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
2.0,3.0,True,Samsung,Samsung - Galaxy J7 Perx 16GB - Black (Sprint),False,309.99,309.99,887276189529
3.0,2.0,True,LG,LG - X Charge 16GB - Titanium (Sprint),False,349.99,309.99,652810818780
3.5,2.0,False,LG,LG - X Venture 32GB - Black (AT&T),True,329.99,329.99,652810817400
3.5,4.0,True,Samsung,Samsung - Galaxy J3 (2018) (AT&T),True,209.99,209.99,887276262055
3.6,13.0,True,Essential,Essential - Essential Phone 128GB - Pure White (Sprint),False,534.98,484.98,857083007057
3.7,3.0,False,BlackBerry,BlackBerry - KEYone 32GB - Black (Sprint),False,579.99,517.99,889063020848
3.8,6.0,True,ZTE,ZTE - Axon M 64GB - Carbon Black (AT&T),True,724.99,724.99,885913106038
3.9,15.0,True,Google,Google - Pixel 2 128GB - Clearly White (Verizon),True,749.99,749.99,842776101211
3.9,15.0,True,Google,Google - Pixel 2 128GB - Just Black (Verizon),True,749.99,749.99,842776101204
3.9,7.0,True,Samsung,Samsung - Galaxy J3 TOP - Black (Verizon),True,168.0,168.0,887276259765
4.0,4.0,True,Samsung,Samsung - Galaxy S8 Active 64GB - Active Gray (Sprint),False,889.99,889.99,887276242415
4.0,1.0,True,Samsung,Samsung - Galaxy J3 Achieve (2018) - Black (Sprint),False,229.99,229.99,887276257563
4.0,1.0,True,Samsung,Samsung - Galaxy J7 (2018) - Black (AT&T),False,269.99,269.99,887276261423
4.1,15.0,True,Motorola,Motorola - Moto E4 16GB - Licorice Black (Sprint),False,199.99,179.99,723755011588
4.1,15.0,True,Motorola,Motorola - Moto E4 Plus 16GB - Iron Gray (Sprint),False,309.99,309.99,723755011830
4.2,49.0,True,LG,LG - V20 64GB - Titan (Verizon),True,729.99,672.0,652810816939
4.2,81.0,True,LG,LG - Stylo 3 16GB - Black (Sprint),False,309.99,309.99,652810817387
4.2,25.0,True,Motorola,Motorola - Moto Z2 Force Edition 64GB - Fine Gold (Sprint),False,819.99,819.99,723755011694
4.2,25.0,True,Motorola,Motorola - Moto Z2 Force Edition 64GB - Super Black (Sprint),False,819.99,819.99,723755011687
