,categoryNode,categoryPath,customerRating,itemId,largeImage,mediumImage,name,numReviews,offerType,parentItemId,salePrice,thumbnailImage,upc
0,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,929456747,https://i5.walmartimages.com/asr/38f7f77f-6d3e-4ff1-a6b5-1f1113edd778_1.4db5948db1e0e6697b5a9b32ade88d36.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/38f7f77f-6d3e-4ff1-a6b5-1f1113edd778_1.4db5948db1e0e6697b5a9b32ade88d36.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,HDCP 1080P 1 in 2 Out HDMI Splitter Amplifier Dual Display For HDTV DVD PS3,0,ONLINE_ONLY,929456747,13.21,https://i5.walmartimages.com/asr/38f7f77f-6d3e-4ff1-a6b5-1f1113edd778_1.4db5948db1e0e6697b5a9b32ade88d36.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,656841566207
1,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,279599450,https://i5.walmartimages.com/asr/bb9d9767-d37c-40bf-87be-dfc4fd73e11f_1.f2e626e12769de1d56d6d840a7c3765c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/bb9d9767-d37c-40bf-87be-dfc4fd73e11f_1.f2e626e12769de1d56d6d840a7c3765c.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Woamail 1080P HD LED Home MulitMedia Theater Cinema USB TV VGA SD HDMI Mini Projector BK,0,ONLINE_ONLY,279599450,66.89,https://i5.walmartimages.com/asr/bb9d9767-d37c-40bf-87be-dfc4fd73e11f_1.f2e626e12769de1d56d6d840a7c3765c.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,655387676852
2,"[""0"",""3944"",""1060825"",""447913""]",Electronics/TV & Video/All TVs,0.0,499041136,https://i5.walmartimages.com/asr/388e416b-3b8c-4ba1-9f2b-ceda8c364ae2_1.ff2186ff18302839f0cb28996cfa8b15.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/388e416b-3b8c-4ba1-9f2b-ceda8c364ae2_1.ff2186ff18302839f0cb28996cfa8b15.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,ABLEGRID AC / DC Adapter For Haier TL04-120150U TL04120150U LCD TV DVD Player Universal Power Supply Cord,0,ONLINE_ONLY,499041136,18.88,https://i5.walmartimages.com/asr/388e416b-3b8c-4ba1-9f2b-ceda8c364ae2_1.ff2186ff18302839f0cb28996cfa8b15.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,769043027480
3,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,252449039,https://i5.walmartimages.com/asr/e578e829-501a-4e99-8c9f-0f6384ba71b2_1.23db5986c6bbd68d41300c44dd233974.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/e578e829-501a-4e99-8c9f-0f6384ba71b2_1.23db5986c6bbd68d41300c44dd233974.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Mini TV 9.5"" TFT LCD Color Analog TV with Wide Angle & FM & TXT Reader Function",0,ONLINE_ONLY,252449039,56.05,https://i5.walmartimages.com/asr/e578e829-501a-4e99-8c9f-0f6384ba71b2_1.23db5986c6bbd68d41300c44dd233974.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,193192197099
4,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,142228532,https://i5.walmartimages.com/asr/de5a1079-f25f-49ec-8004-152442be644d_1.51ff0b4d211fe3eec735b9083100da00.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/de5a1079-f25f-49ec-8004-152442be644d_1.51ff0b4d211fe3eec735b9083100da00.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Cthulhu Lovecraft Dimensions Ugly XMAS Sweater Forest Youth T-Shirt,0,ONLINE_ONLY,142228532,11.95,https://i5.walmartimages.com/asr/de5a1079-f25f-49ec-8004-152442be644d_1.51ff0b4d211fe3eec735b9083100da00.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,889876986034
5,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,739223524,https://i5.walmartimages.com/asr/bc560cf8-a856-41fa-9e13-2aa8d073afcb_1.13b2a0999fb0c2c0445f95f9e5d2f6e7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/bc560cf8-a856-41fa-9e13-2aa8d073afcb_1.13b2a0999fb0c2c0445f95f9e5d2f6e7.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,100 Feet 30M Powerful 1080P DVI HDMI Engineering Cable Signal Amplifier For BLURAY 3D DVD For PS3 HDTV LCD TV,0,ONLINE_ONLY,739223524,52.49,https://i5.walmartimages.com/asr/bc560cf8-a856-41fa-9e13-2aa8d073afcb_1.13b2a0999fb0c2c0445f95f9e5d2f6e7.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,661909386864
6,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,279368912,https://i5.walmartimages.com/asr/f591efa8-f09a-4493-8003-0f872dad4f14_1.45993d266cf367609187fed4af695a8b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/f591efa8-f09a-4493-8003-0f872dad4f14_1.45993d266cf367609187fed4af695a8b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,2018 T-mack 100 Feet 30M Powerful 1080P DVI HDMI Engineering Cable Signal Amplifier For BLURAY 3D DVD For PS3 HDTV LCD TV,0,ONLINE_ONLY,279368912,29.33,https://i5.walmartimages.com/asr/f591efa8-f09a-4493-8003-0f872dad4f14_1.45993d266cf367609187fed4af695a8b.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,661909407798
7,3944_1060825_3289537,Electronics/TV & Video/Portable TVs,0.0,499763314,https://i5.walmartimages.com/asr/226de1cf-8fab-4c29-bd94-80022e3b801c_1.7d86de5a755442453001ce6fbce64ef4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/226de1cf-8fab-4c29-bd94-80022e3b801c_1.7d86de5a755442453001ce6fbce64ef4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Multi-directional Capability Indoor Digital TV Aerial HDTV Aerial with High Gain For DVB-T TV HDTV Digital TV Aerial,0,ONLINE_ONLY,499763314,10.39,https://i5.walmartimages.com/asr/226de1cf-8fab-4c29-bd94-80022e3b801c_1.7d86de5a755442453001ce6fbce64ef4.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,785883531918
8,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,360195814,https://i5.walmartimages.com/asr/6c936e2f-9333-4b21-8633-dbd080308f17_1.4d15fc63f1ae375953d4eaa3514b943d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/6c936e2f-9333-4b21-8633-dbd080308f17_1.4d15fc63f1ae375953d4eaa3514b943d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,UpBright NEW Global AC DC Adapter For Samsung UN32J5205 UN32J5205A UN32J5205AF UN32J5205AFXZA 32 LCD LED TV,0,ONLINE_ONLY,360195814,49.41,https://i5.walmartimages.com/asr/6c936e2f-9333-4b21-8633-dbd080308f17_1.4d15fc63f1ae375953d4eaa3514b943d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,669230406541
9,3944_1060825_447913,Electronics/TV & Video/All TVs,0.0,875798444,https://i5.walmartimages.com/asr/9e60dee2-36b8-4462-ac34-42089793a607_1.d6e3e826270951cf1fe64e9869ba42c8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/9e60dee2-36b8-4462-ac34-42089793a607_1.d6e3e826270951cf1fe64e9869ba42c8.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,3-Port HDMI Switch Intelligent Auto Switcher 3x1 (3 Input x 1 Output) Support 4K Full HD 3D 1080P for HDTV TV PS3 PS4 Xbox 360,0,ONLINE_ONLY,875798444,20.5,https://i5.walmartimages.com/asr/9e60dee2-36b8-4462-ac34-42089793a607_1.d6e3e826270951cf1fe64e9869ba42c8.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,716970705189
