,Product,Category,UPC,BestBuy_Price,Walmart_Price,Price_Difference,BestBuy_ReviewCount,Walmart_ReviewCount,BestBuy_ReviewAverage,Walmart_ReviewAverage,Price Delta (B-W),Price Delta (W-B),Combined_Reviews
27,"MSI - 17.3"" 4K Ultra HD Laptop - Intel Core i9 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB HDD + 1TB Solid State Drive - Aluminum Black",Laptops,824142161609,4499.99,4499.0,0,5.0,0,4.2,0.0,0.9899999999997817,-0.9899999999997817,5.0
54,"Apple - MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage - Space Gray",Laptops,190198373977,2399.99,2599.0,0,880.0,0,4.8,0.0,-199.01000000000022,199.01000000000022,880.0
48,"Dell - XPS 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB SSD - Silver With Black Carbon Fiber Palm Rest",Laptops,884116305040,2049.99,1849.0,0,4.0,1916,4.5,4.061,200.98999999999978,-200.98999999999978,1920.0
57,"Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black",Laptops,190151081857,1831.99,1831.99,0,2.0,0,5.0,0.0,0.0,0.0,2.0
43,"Lenovo - 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M500M - 512GB Solid State Drive - Black",Laptops,190151427211,1743.99,1499.95,0,2.0,0,4.5,0.0,244.03999999999996,-244.03999999999996,2.0
69,"Dell - XPS 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver With Black Carbon Fiber Palm Rest",Laptops,884116277392,1629.99,1599.0,0,1.0,0,5.0,0.0,30.99000000000001,-30.99000000000001,1.0
110,"Alienware - 15.54"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver",Laptops,884116293675,1619.99,1389.0,0,0.0,0,0.0,0.0,230.99,-230.99,0.0
58,"Alienware - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Silver",Laptops,884116255338,1615.99,1559.99,0,3.0,15,5.0,3.733,56.0,-56.0,18.0
79,"Alienware - 17.3"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Epic silver",Laptops,884116254720,1593.99,1747.02,0,0.0,0,0.0,0.0,-153.02999999999997,153.02999999999997,0.0
115,"LG - gram 14"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive - Dark Silver",Laptops,719192618930,1549.99,1396.99,0,0.0,5,0.0,4.2,153.0,-153.0,5.0
44,"Lenovo - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Black",Laptops,191200630378,1499.99,1301.34,0,2.0,87,4.5,4.195,198.6500000000001,-198.6500000000001,89.0
88,"ASUS - ZenBook 3 Deluxe UX490UA 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Royal blue",Laptops,889349835760,1478.99,1607.64,0,0.0,0,0.0,0.0,-128.6500000000001,128.6500000000001,0.0
16,"Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",Laptops,884116260288,1399.99,1160.63,0,1.0,0,4.0,0.0,239.3599999999999,-239.3599999999999,1.0
3,"Dell - XPS 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB SSD - Silver With Black Carbon Fiber Palm Rest",Laptops,884116277187,1399.99,1399.0,0,1.0,1886,2.0,4.062,0.9900000000000091,-0.9900000000000091,1887.0
6,"Acer - Predator Helios 300 15.6"" Laptop - Intel Core i7 - 16GB Memory-NVIDIA GeForce GTX 1060-1TB HD+256GB Solid State Drive - Black",Laptops,191114286456,1399.99,1199.0,0,5.0,0,3.0,0.0,200.99,-200.99,5.0
56,"Lenovo - ThinkPad P50 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA Quadro M1000M - 500GB Hard Drive - Black",Laptops,889955802309,1391.99,1391.99,0,1.0,143,5.0,4.126,0.0,0.0,144.0
