,Product,Category,UPC,BestBuy_Price,Walmart_Price,Price_Difference,BestBuy_ReviewCount,Walmart_ReviewCount,BestBuy_ReviewAverage,Walmart_ReviewAverage,Price Delta (B-W),Price Delta (W-B),Combined_Reviews
50,Total Wireless - Samsung Galaxy Note8 4G LTE with 64GB Memory Prepaid Cell Phone - Midnight Black,Phones,616960254805.0,899.99,884.65,0,0.0,50,0.0,4.4,15.340000000000032,-15.340000000000032,50.0
49,Simple Mobile - Samsung Galaxy Note8 4G LTE with 64GB Memory Prepaid Cell Phone - Midnight Black,Phones,616960254423.0,899.99,899.0,0,0.0,50,0.0,4.4,0.9900000000000091,-0.9900000000000091,50.0
11,LG - V30+ 4G LTE with 128GB Memory Cell Phone (Unlocked) - Aurora Black,Phones,652810819879.0,882.99,829.44,0,1.0,6,5.0,3.833,53.549999999999955,-53.549999999999955,7.0
56,Total Wireless - Samsung Galaxy S9+ 4G LTE with 64GB Memory Cell Phone - Midnight Black,Phones,616960267164.0,829.99,799.99,0,1.0,0,5.0,0.0,30.0,-30.0,1.0
45,Samsung - Galaxy S9+ 4G LTE with 64GB Memory Cell Phone - Midnight Black (Simple Mobile),Phones,616960266778.0,829.99,799.99,0,0.0,0,0.0,0.0,30.0,-30.0,0.0
42,Sony - XPERIA XZ2 with 64GB Memory Cell Phone (Unlocked) - Liquid Black,Phones,95673865957.0,799.99,752.84,0,46.0,0,4.2,0.0,47.14999999999998,-47.14999999999998,46.0
19,Sony - XPERIA XZ2 with 64GB Memory Cell Phone (Unlocked) - Deep Green,Phones,95673865971.0,799.99,752.84,0,52.0,0,4.2,0.0,47.14999999999998,-47.14999999999998,52.0
18,Sony - XPERIA XZ2 with 64GB Memory Cell Phone (Unlocked) - Ash Pink,Phones,95673865988.0,799.99,752.84,0,52.0,0,4.2,0.0,47.14999999999998,-47.14999999999998,52.0
10,LG - V30 4G LTE with 64GB Memory Cell Phone (Unlocked) - Cloud Silver,Phones,652810819374.0,799.99,729.44,0,7.0,5,4.0,4.4,70.54999999999995,-70.54999999999995,12.0
40,Virgin Mobile - Samsung Galaxy S9 64GB Prepaid Cell Phone - Midnight Black,Phones,887276257136.0,699.99,735.45,0,10.0,0,4.0,0.0,-35.460000000000036,35.460000000000036,10.0
2,Razer - Phone with 64GB Memory Cell Phone (Unlocked) - Black/Silver,Phones,814855025961.0,699.99,599.99,0,13.0,0,4.2,0.0,100.0,-100.0,13.0
39,Boost Mobile - Samsung Galaxy S9 64GB Prepaid Cell Phone - Midnight Black,Phones,887276255071.0,699.99,699.99,0,16.0,0,5.0,0.0,0.0,0.0,16.0
55,Total Wireless - Samsung Galaxy S9 4G LTE with 64GB Memory Cell Phone - Midnight Black,Phones,616960266679.0,699.99,699.99,0,0.0,0,0.0,0.0,0.0,0.0,0.0
