,Product,Category,UPC,BestBuy_Price,Walmart_Price,Price_Difference,BestBuy_ReviewCount,Walmart_ReviewCount,BestBuy_ReviewAverage,Walmart_ReviewAverage,Price Delta (B-W),Price Delta (W-B),Combined_Reviews
11,"Sony - 85"" Class - LED - X850F Series - 2160p - Smart - 4K UHD TV with HDR",TVs,27242909939,3999.99,3998.0,0,16,0,4.4,0.0,1.9899999999997817,-1.9899999999997817,16
10,"Samsung - 65"" Class - LED - Q9F Series - 2160p - Smart - 4K UHD TV with HDR",TVs,887276255279,3499.99,3497.99,0,40,38,4.4,4.895,2.0,-2.0,78
18,"Samsung - 65"" Class - LED - Curved - Q8C Series - 2160p - Smart - 4K UHD TV with HDR",TVs,887276197302,2999.99,2999.99,0,28,31,4.5,4.774,0.0,0.0,59
21,"Samsung - 65"" Class - LED - LS003 Series - 2160p - Smart - 4K UHD TV with HDR",TVs,887276222608,2799.99,2797.99,0,10,40,4.5,4.525,2.0,-2.0,50
1,"LG - 55"" Class - OLED - E8PUA Series - 2160p - Smart - 4K UHD TV with HDR",TVs,719192621008,2699.99,2696.99,0,5,17,3.4,4.471,3.0,-3.0,22
2,"Sony - 75"" Class - LED - X850F Series - 2160p - Smart - 4K UHD TV with HDR",TVs,27242909946,2499.99,2498.0,0,43,0,4.1,0.0,1.9899999999997817,-1.9899999999997817,43
5,"LG - 75"" Class - LED - SK8070PUA Series - 2160p - Smart - 4K UHD TV with HDR",TVs,719192621077,2499.99,2496.99,0,33,7,4.3,4.167,3.0,-3.0,40
20,"Samsung - 55"" Class - LED - LS003 Series - 2160p - Smart - 4K UHD TV with HDR",TVs,887276222592,1999.99,1997.99,0,17,43,4.5,4.419,2.0,-2.0,60
0,"VIZIO - 75"" Class - LED - P-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016707,1999.99,1998.0,0,4,3,2.8,5.0,1.990000000000009,-1.990000000000009,7
9,"Samsung - 43"" Class - LED - LS003 Series - 2160p - Smart - 4K UHD TV with HDR",TVs,887276240176,1299.99,1297.99,0,7,40,4.4,4.525,2.0,-2.0,47
17,"VIZIO - 70"" Class - LED - E-Series - 2160p - Smart - 4K UHD Home Theater Display with HDR",TVs,845226014253,1199.99,998.0,0,1392,263,4.5,4.049,201.99,-201.99,1655
19,"LG - 55"" Class - LED - SJ8500 Series - 2160p - Smart - 4K UHD TV with HDR",TVs,719192609679,1099.99,1096.99,0,210,256,4.5,4.641,3.0,-3.0,466
14,"LG - 65"" Class - LED - UK6300 Series - 2160p - Smart - 4K UHD TV with HDR",TVs,719192621145,899.99,896.99,0,35,82,4.4,4.671,3.0,-3.0,117
4,"VIZIO - 70"" Class - LED - E-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016554,899.99,898.0,0,9,2,4.2,5.0,1.990000000000009,-1.990000000000009,11
13,"VIZIO - 65"" Class - LED - E-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016462,799.99,798.0,0,44,40,4.4,4.925,1.990000000000009,-1.990000000000009,84
22,"Sony - 60"" Class - LED - X690E Series - 2160p - Smart - 4K UHD TV with HDR",TVs,27242906037,699.99,708.38,0,1153,0,4.5,0.0,-8.389999999999986,8.389999999999986,1153
6,"VIZIO - 55"" Class - LED - E-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016455,499.99,498.0,0,51,15,4.3,4.2,1.990000000000009,-1.990000000000009,66
3,"VIZIO - 50"" Class - LED - E-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016493,439.99,438.0,0,26,11,4.2,4.727,1.990000000000009,-1.990000000000009,37
8,"Samsung - 50"" Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV",TVs,887276222493,399.99,445.65,0,102,92,4.4,4.3039999999999985,-45.65999999999997,45.65999999999997,194
7,"VIZIO - 50"" Class - LED - E-Series - 2160p - Smart - 4K UHD Home Theater Display with HDR",TVs,845226014581,399.99,325.66,0,1293,98,4.4,4.143,74.32999999999998,-74.32999999999998,1391
12,"VIZIO - 43"" Class - LED - E-Series - 2160p - Smart - 4K UHD TV with HDR",TVs,845226016448,339.99,348.0,0,51,12,4.4,4.833,-8.009999999999991,8.009999999999991,63
15,"Sharp - 50"" Class - LED - 1080p - Smart - HDTV Roku TV",TVs,600603199738,329.99,541.02,0,4564,0,4.5,0.0,-211.02999999999997,211.02999999999997,4564
23,"TCL - 43"" Class - LED - 4 Series - 2160p - Smart - 4K UHD TV with HDR Roku TV",TVs,846042007627,279.99,309.99,0,136,39,4.5,4.154,-30.0,30.0,175
16,"VIZIO - 39"" Class - LED - D-Series - 720p - HDTV",TVs,845226043208,199.99,179.99,0,13,90,4.5,4.119,20.0,-20.0,103
